NO,PROVINSI,KOTA,LT,BT,ZONA
1,Jawa Tengah,Banjarnegara,-7.43333333333333,109.666666666667,Asia/Jakarta
2,Jawa Tengah,Banyumas,-7.41666666666667,114.383333333333,Asia/Jakarta
3,Jawa Tengah,Batang,-6.93333333333333,109.716666666667,Asia/Jakarta
4,Jawa Tengah,Bloro,-6.96666666666667,111.416666666667,Asia/Jakarta
5,Jawa Tengah,Boyolali,-7.55,110.583333333333,Asia/Jakarta
6,Jawa Tengah,Brebes,-6.9,109.033333333333,Asia/Jakarta
7,Jawa Tengah,Cepu,-7.16666666666667,111.583333333333,Asia/Jakarta
8,Jawa Tengah,Cilacap,-7.75,109.033333333333,Asia/Jakarta
9,Jawa Tengah,Demak,-6.9,110.616666666667,Asia/Jakarta
10,Jawa Tengah,Jepara,-6.6,110.65,Asia/Jakarta
11,Jawa Tengah,Karanganyar,-7.58333333333333,110.95,Asia/Jakarta
12,Jawa Tengah,Kebumen,-7.7,109.65,Asia/Jakarta
13,Jawa Tengah,Kendal,-6.95,110.183333333333,Asia/Jakarta
14,Jawa Tengah,Klaten,-7.73333333333333,110.583333333333,Asia/Jakarta
15,Jawa Tengah,Kudus,-6.83333333333333,110.833333333333,Asia/Jakarta
16,Jawa Tengah,Magelang,-7.5,110.2,Asia/Jakarta
17,Jawa Tengah,Pati,-6.63333333333333,111.05,Asia/Jakarta
18,Jawa Tengah,Pekalongan,-6.91666666666667,109.683333333333,Asia/Jakarta
19,Jawa Tengah,Pemalang,-6.91666666666667,109.4,Asia/Jakarta
20,Jawa Tengah,Purbalingga,-7.41666666666667,109.366666666667,Asia/Jakarta
21,Jawa Tengah,Purwodadi,-7.13333333333333,110.9,Asia/Jakarta
22,Jawa Tengah,Purwokerto,-7.46666666666667,109.216666666667,Asia/Jakarta
23,Jawa Tengah,Purworejo,-7.46666666666667,109.433333333333,Asia/Jakarta
24,Jawa Tengah,Rembang,-6.65,111.483333333333,Asia/Jakarta
25,Jawa Tengah,Salatiga,-7.33333333333333,110.483333333333,Asia/Jakarta
26,Jawa Tengah,Semarang,-7,110.4,Asia/Jakarta
27,Jawa Tengah,Slawi,-6.96666666666667,109.15,Asia/Jakarta
28,Jawa Tengah,Solo,-7.58333333333333,110.8,Asia/Jakarta
