DATE,BULAN,TAHUN,TINGGI HILAL MINIMUM,ELONGASI GEOSENTRIK MINIMUM,ELONGASI TOPOSENTRIK MINIMUM,BEDA AZIMUT MINIMUM,TINGGI HILAL MAKSIMUM,ELONGASI GEOSENTRIK MAKSIMUM,ELONGASI TOPOSENTRIK MAKSIMUM,BEDA AZIMUT MAKSIMUM,MABIMS NOT VISIBLE,MABIMS VISIBLE,ODEH NOT VISIBLE,ODEH VISIBLE OPTIC,ODEH VISIBLE NAKED EYE,KATSNER NOT VISIBLE,KATSNER VISIBLE OPTIC,KATSNER VISIBLE NAKED EYE
1989-8-2,1,1410,6.0714878858472,8.05567822533114,7.13243829610321,-3.38617905190449,7.86058261786556,9.79494970123198,8.93725340103183,0.25627162496869,0,1,0,0.74,0.26,0,1,0
1989-8-31,2,1410,-1.14541850298028,1.76831338611327,1.42932474079083,-2.59487868032278,0.756238003563542,3.17927601488416,2.75453386718501,-1.42262015826861,1,0,1,0,0,1,0,0
1989-9-30,3,1410,0.538942950408241,6.10939224834424,5.5883248211954,-6.48923512717465,3.69369560921737,7.38447874906553,6.98011216957835,-4.63432663720437,0.88,0.12,1,0,0,0.29,0.71,0
1989-10-29,4,1410,-6.7396439020473,5.03946247267997,5.49372948687166,-4.52290704751053,-3.95823720843475,5.72722869878944,6.52002976739763,-2.76878651902106,1,0,1,0,0,1,0,0
1989-11-28,5,1410,-3.80096851887148,4.79334385480131,4.71610600807467,-4.85097489277081,-0.431512946515592,4.87673524379445,5.30629917902831,-4.40293198059712,1,0,1,0,0,1,0,0
1989-12-28,6,1410,0.45039842951561,4.01781538638254,3.43033759288276,-3.35390872062024,3.2052737446847,5.25055525555778,4.39566636013101,-1.70659158325159,1,0,1,0,0,0.23,0.77,0
1990-1-26,7,1410,4.58500815756934,6.87127633730646,5.9217399709839,0.684171018355102,6.67570939579749,8.75340928638372,7.91912089115186,4.04827447448102,0,1,0.04,0.96,0,0,1,0
1990-2-25,8,1410,-2.8061208011083,1.79444944446346,2.1309288575441,1.5041960358148,-0.711474695881321,2.64368371918391,2.6870596381321,2.6165869036854,1,0,1,0,0,1,0,0
1990-3-27,9,1410,1.69801011794834,8.62157864261964,7.99661227657174,6.30159274207938,5.85045667594305,10.3397038569422,9.86166021492874,9.02352025356561,0.25,0.75,0.65,0.35,0,0.02,0.98,0
1990-4-25,10,1410,-2.48766948131382,5.50027484481178,5.41547763927606,5.40270360446442,1.40227176862186,6.66797603895892,6.47550858048763,6.47608883679749,1,0,1,0,0,1,0,0
1990-5-25,11,1410,7.65415437123523,12.8061800651342,12.0826542251522,4.77545939901597,12.250884595369,14.8537600562868,13.9196385311578,9.30651588273423,0,1,0,0,1,0,0.13,0.87
1990-6-23,12,1410,5.20510342598748,8.11155257998302,7.26143888049774,0.76240272404408,8.28972771746936,10.1438332021863,9.15462741369558,4.27243622801171,0,1,0,0.67,0.33,0,1,0
1990-7-22,1,1411,1.21721547064899,3.07379950982008,2.10633328450105,-1.47610142810919,3.09479155160546,5.06987430047914,4.13968705278264,0.481716979901023,1,0,1,0,0,0,1,0
1990-8-21,2,1411,6.18365813577405,10.6397940142416,9.780713474488,-8.19179628525183,9.62072081956658,12.4059149068762,11.7162680342043,-4.17943300772623,0,1,0,0.1,0.9,0,0.91,0.09
1990-9-19,3,1411,-0.567223958903146,5.59828468705584,5.17927860743113,-6.35372728551135,2.65438533916475,6.82863892363015,6.54500947831731,-4.79104735874375,1,0,1,0,0,0.79,0.21,0
1990-10-19,4,1411,2.72695696654123,9.25236441414176,8.6875546536929,-8.8224664866118,6.72599177975243,10.6275087130058,10.0699282378894,-6.20365336418507,0.02,0.98,0.33,0.67,0,0,1,0
1990-11-17,5,1411,-3.76780163753414,4.58159226872098,4.56171613558529,-4.67682259139355,-0.565039789971094,4.70273385085464,5.0773499932551,-4.14725002179981,1,0,1,0,0,1,0,0
1990-12-17,6,1411,-0.410864074446258,3.24455247463039,2.76566576572102,-3.07544639834396,2.18555211509838,4.32108612647653,3.5979961085377,-1.82901039664273,1,0,1,0,0,0.71,0.29,0
1991-1-15,7,1411,2.08938584220159,4.0457942125329,3.14258271492116,0.405428892015948,3.75553405930006,5.76549510512507,4.97443982236632,2.63990846326024,1,0,1,0,0,0,1,0
1991-2-14,8,1411,-6.41226181336887,3.38409899888158,4.29982262787371,-0.451172924395138,-4.88714569653381,4.72917535101677,5.62976750296368,1.53978101559176,1,0,1,0,0,1,0,0
1991-3-16,9,1411,-4.06091504402387,4.36815605434779,4.65349869070789,3.73399780406174,-1.17402862775292,4.8569005383831,5.13077548002516,4.85091727233106,1,0,1,0,0,1,0,0
1991-4-15,10,1411,1.37448367973296,8.67744073820034,8.16195301129192,6.60146941349433,5.70839604728009,10.2892151075983,9.76896775780406,9.042326820889,0.32,0.68,0.7,0.3,0,0.06,0.94,0
1991-5-14,11,1411,-1.84958851289323,4.69383507038773,4.50987579497698,4.43120299121898,1.8613677394719,5.86763958977161,5.48587675936855,5.44348529029764,1,0,1,0,0,0.98,0.02,0
1991-6-13,12,1411,9.21595172194509,12.0109911745715,11.0940933137681,0.0701009837871425,12.3685565058133,14.1967556534317,13.2020402692701,5.08990373691796,0,1,0,0,1,0,0,1
