"DATE","BULAN","TAHUN","TINGGI HILAL","ELONGASI GEOSENTRIK","ELONGASI TOPOSENTRIK","UMUR BULAN","AZIMUT MATAHARI","AZIMUT BULAN","BEDA AZIMUT","ILUMINASI","ODDEH","KATSNER","ATM (100)","ATM (50)","ATM (25)"
"1989-8-2","1","1410","7.3392673186076","9.1248962474026","8.2075073231781","18.563055555556","287.7449450297","286.98655861121","-0.75838641848878","0.51406038347529","Visible Optic","Visible Naked Eye","Visible","Visible","Visible"
"1989-8-31","2","1410","0.1283424260983","2.6437136145217","2.0991000390977","4.8925","278.53229691186","276.66637143419","-1.865925477668","0.033607797268631","Not Visible","Visible Optic","Not Visible","Visible","Visible"
"1989-9-30","3","1410","2.7623729650968","6.9427159552105","6.4006434297052","12.775277777778","267.00012723395","261.70328494137","-5.2968422925844","0.31292723306608","Not Visible","Visible Optic","Not Visible","Visible","Visible"
"1989-10-30","4","1410","5.7142649898648","9.9761506433426","9.3317659380706","19.093611111111","255.94015736896","249.28131472774","-6.6588426412248","0.66462570123381","Visible Optic","Visible Naked Eye","Visible","Visible","Visible"
"1989-11-28","5","1410","-1.4459779200267","4.8048897258906","4.8349491779632","1.0083333333333","248.37741032856","243.58046474994","-4.7969455786201","0.17893213727236","Not Visible","Not Visible","Not Visible","Not Visible","Not Visible"
"1989-12-28","6","1410","2.4363207934619","4.8015804299139","4.0163887132086","7.6055555555556","246.42810637191","244.09497576856","-2.3331306033557","0.12320946011112","Not Visible","Visible Optic","Not Visible","Not Visible","Not Visible"
"1990-1-26","7","1410","5.7625296437729","8.1268951177187","7.2486206164189","15.737222222222","251.28547327462","254.29617838597","3.0107051113505","0.4010159978892","Visible Optic","Visible Naked Eye","Not Visible","Not Visible","Visible"
"1990-2-25","8","1410","-1.7375094931355","2.2222117221627","2.3967777246873","2.0869444444444","260.72902374214","262.94927876324","2.2202550211026","0.043935734724992","Not Visible","Not Visible","Not Visible","Not Visible","Not Visible"
"1990-3-27","9","1410","3.3996051857964","9.7348287133955","9.2335611734414","14.963611111111","272.50159156784","280.71169035736","8.2100987895192","0.65032300567234","Not Visible","Visible Optic","Visible","Visible","Visible"
"1990-4-25","10","1410","-0.83622353565668","6.1752235428835","6.0897355174204","6.1","283.17505217182","289.26543397577","6.0903818039412","0.28326087644356","Not Visible","Not Visible","Not Visible","Not Visible","Not Visible"
"1990-5-25","11","1410","9.70006611977","14.045712514904","13.240597408518","22.686111111111","291.00080737419","299.05906410896","8.0582567347744","1.3343109308197","Visible Naked Eye","Visible Naked Eye","Visible","Visible","Visible"
